region,hora_publicacion,estacion,ica,o3,no2,so2,pm25,pm10,co
Valencia,13:00del13/04/2019,ONTINYENT,64,117ug/m3,,,,,
Valencia,13:00del13/04/2019,PATERNA-CEAM,61,116ug/m3,11ug/m3,3ug/m3,,,100ug/m3
Valencia,13:00del13/04/2019,SAGUNTCEA,67,120ug/m3,5ug/m3,3ug/m3,5.38ug/m3,8.88ug/m3,200ug/m3
Valencia,13:00del13/04/2019,SAGUNTPORT,61,115ug/m3,14ug/m3,3ug/m3,,,100ug/m3
Valencia,13:00del13/04/2019,SAGUNT-NORD,47,101ug/m3,13ug/m3,,,,
Valencia,12:00del13/04/2019,VALÈNCIA-BULEVARDSUD,41,87ug/m3,5ug/m3,3ug/m3,,,
Valencia,13:00del13/04/2019,TORREBAJA,77,125ug/m3,,,,,
Valencia,19:00del03/10/2018,TORRENT-ELVEDAT,--,,,,,,
Valencia,13:00del13/04/2019,VALÈNCIA-AVD.FRANCIA,71,121ug/m3,14ug/m3,6ug/m3,13.5ug/m3,19.38ug/m3,100ug/m3
Valencia,12:00del13/04/2019,VALÈNCIA-MOLÍDELSOL,67,104ug/m3,16ug/m3,4ug/m3,19.5ug/m3,22.13ug/m3,100ug/m3
Valencia,13:00del13/04/2019,VALÈNCIA-PISTADESILLA,65,80ug/m3,46ug/m3,7ug/m3,18.75ug/m3,23.63ug/m3,400ug/m3
Valencia,13:00del13/04/2019,VALÈNCIA-POLITÈCNIC,77,125ug/m3,4ug/m3,4ug/m3,17.38ug/m3,21.63ug/m3,
Valencia,12:00del13/04/2019,VALÈNCIA-VIVERS,50,107ug/m3,13ug/m3,4ug/m3,,,
Valencia,13:00del13/04/2019,VILAMARXANT,64,118ug/m3,1ug/m3,3ug/m3,5.75ug/m3,16.25ug/m3,100ug/m3
Valencia,13:00del13/04/2019,VILLARDELARZOBISPO,64,118ug/m3,2ug/m3,3ug/m3,12ug/m3,21ug/m3,
Valencia,13:00del13/04/2019,ZARRA,67,119.29ug/m3,3.82ug/m3,0.79ug/m3,,,
Valladolid,11:00del13/04/2019,VEGASICILIA,65,69ug/m3,12ug/m3,,18.75ug/m3,25.75ug/m3,
Valladolid,13:00del13/04/2019,ENERGYWORKS-VA2,45,97ug/m3,14ug/m3,,,,
Valladolid,13:00del13/04/2019,VALLADOLIDSUR,47,101ug/m3,1ug/m3,,,,
Valladolid,11:00del13/04/2019,LARUBIAII,66,,18ug/m3,3ug/m3,19.38ug/m3,25.63ug/m3,
