region,hora_publicacion,estacion,ica,o3,no2,so2,pm25,pm10,co
b'Cantabria',b'11:00del13/04/2019',b'TETU\xc3\x81N',b'39',b'83.75ug/m3',b'10.75ug/m3',b'',b'',b'22.66ug/m3',b'325ug/m3'
b'Cantabria',b'12:00del13/04/2019',b'BARREDA',b'16',b'',b'24ug/m3',b'6ug/m3',b'',b'17.25ug/m3',b'500ug/m3'
b'Cantabria',b'13:00del13/04/2019',b'ESCUELADEMINAS',b'43',b'',b'32ug/m3',b'78ug/m3',b'',b'23.25ug/m3',b''
b'Castell\xc3\xb3n',b'10:00del13/04/2019',b'BENICASSIM',b'35',b'',b'6ug/m3',b'3ug/m3',b'8.5ug/m3',b'16ug/m3',b'200ug/m3'
b'Castell\xc3\xb3n',b'12:00del13/04/2019',b'BURRIANA',b'67',b'119ug/m3',b'4ug/m3',b'4ug/m3',b'5ug/m3',b'6.13ug/m3',b'100ug/m3'
b'Castell\xc3\xb3n',b'12:00del13/04/2019',"b""CASTELL\xc3\x93-PATRONATD'ESPORTS""",b'45',b'97ug/m3',b'18ug/m3',b'14ug/m3',b'',b'',b'100ug/m3'
b'Castell\xc3\xb3n',b'12:00del13/04/2019',b'CASTELL\xc3\x93-PENYETA',b'45',b'97ug/m3',b'24ug/m3',b'',b'10.63ug/m3',b'13.75ug/m3',b''
b'Castell\xc3\xb3n',b'12:00del13/04/2019',b'ALMASSORA-C.P.OCHANDO',b'27',b'',b'1ug/m3',b'3ug/m3',b'6.38ug/m3',b'8ug/m3',b'100ug/m3'
b'Castell\xc3\xb3n',b'11:00del13/04/2019',b'CASTELL\xc3\x93-ERMITA',b'44',b'96ug/m3',b'10ug/m3',b'3ug/m3',b'',b'',b''
b'Castell\xc3\xb3n',b'11:00del13/04/2019',b'CASTELL\xc3\x93-GRAU',b'41',b'88ug/m3',b'20ug/m3',b'5ug/m3',b'',b'39.5ug/m3',b''
b'Castell\xc3\xb3n',b'12:00del13/04/2019',b'CIRAT',b'54',b'111ug/m3',b'1ug/m3',b'3ug/m3',b'',b'',b'400ug/m3'
b'Castell\xc3\xb3n',b'11:00del13/04/2019',b'CORATXAR',b'1',b'1ug/m3',b'1ug/m3',b'3ug/m3',b'',b'',b''
b'Castell\xc3\xb3n',b'12:00del13/04/2019',b'ALCORA',b'45',b'98ug/m3',b'8ug/m3',b'3ug/m3',b'6.63ug/m3',b'43.63ug/m3',b'200ug/m3'
b'Castell\xc3\xb3n',b'10:00del13/04/2019',"b""LAVALLD'UIX\xc3\x93""",b'39',b'83ug/m3',b'',b'',b'',b'',b''
b'Castell\xc3\xb3n',b'11:00del13/04/2019',b'MORELLA',b'80',b'127ug/m3',b'7ug/m3',b'3ug/m3',b'',b'',b''
b'Castell\xc3\xb3n',b'12:00del13/04/2019',b'ONDA',b'61',b'116ug/m3',b'12ug/m3',b'9ug/m3',b'',b'',b''
b'Castell\xc3\xb3n',b'12:00del13/04/2019',b'SANTJORDI',b'74',b'124ug/m3',b'7ug/m3',b'4ug/m3',b'',b'',b''
b'Castell\xc3\xb3n',b'12:00del13/04/2019',b'TORREENDOMENECH',b'45',b'97ug/m3',b'',b'',b'',b'',b''
b'Castell\xc3\xb3n',b'12:00del13/04/2019',b'VILAFRANCA',b'97',b'138ug/m3',b'1ug/m3',b'3ug/m3',b'',b'',b''
b'Castell\xc3\xb3n',b'11:00del13/04/2019',b'VIVER',b'54',b'112ug/m3',b'4ug/m3',b'3ug/m3',b'10.13ug/m3',b'15.63ug/m3',b'100ug/m3'
b'Castell\xc3\xb3n',b'12:00del13/04/2019',b'ZORITA',b'53',b'110ug/m3',b'3ug/m3',b'3ug/m3',b'13.25ug/m3',b'15.63ug/m3',b''
b'Ciudad Real',b'11:00del13/04/2019',b'CIUDADREAL',b'47',b'102ug/m3',b'5ug/m3',b'2ug/m3',b'',b'17ug/m3',b''
b'Ciudad Real',b'13:00del13/04/2019',b'BARRIO630',b'27',b'58ug/m3',b'5ug/m3',b'2ug/m3',b'',b'27.13ug/m3',b''
b'Ciudad Real',b'12:00del13/04/2019',b'CALLEANCHA',b'42',b'90ug/m3',b'12ug/m3',b'2ug/m3',b'',b'',b''
b'Ciudad Real',b'13:00del13/04/2019',b'CAMPODEF\xc3\x9aTBOL',b'37',b'80ug/m3',b'3ug/m3',b'2ug/m3',b'',b'22.75ug/m3',b'70ug/m3'
b'Ciudad Real',b'12:00del13/04/2019',b'INSTITUTON\xc2\xba3',b'54',b'86ug/m3',b'15ug/m3',b'2ug/m3',b'13.63ug/m3',b'',b''
b'C\xc3\xb3rdoba',b'11:00del13/04/2019',b'ASOMADILLA',b'26',b'55ug/m3',b'4ug/m3',b'4ug/m3',b'',b'',b''
b'C\xc3\xb3rdoba',b'10:00del13/04/2019',b'AVDA.AL-NASIR',b'11',b'',b'23ug/m3',b'4ug/m3',b'',b'',b'360ug/m3'
b'C\xc3\xb3rdoba',b'11:00del13/04/2019',b'LEPANTO',b'31',b'67ug/m3',b'16ug/m3',b'4ug/m3',b'',b'',b'137ug/m3'
b'C\xc3\xb3rdoba',b'11:00del13/04/2019',b'OBEJO',b'10',b'',b'6ug/m3',b'',b'',b'10.86ug/m3',b''
b'C\xc3\xb3rdoba',b'10:00del13/04/2019',b'VILLAHARTA',b'34',b'74ug/m3',b'6ug/m3',b'1ug/m3',b'',b'',b'316ug/m3'
b'C\xc3\xb3rdoba',b'11:00del13/04/2019',b'POBLADO',b'2',b'',b'3ug/m3',b'',b'',b'',b''
b'Cuenca',b'12:00del13/04/2019',b'CUENCA',b'47',b'101ug/m3',b'17ug/m3',b'2ug/m3',b'',b'20.25ug/m3',b''
b'Girona',b'13:00del13/04/2019',"b""Agullana(dip\xc3\xb2sitsd'aigua)""",b'61',b'116ug/m3',b'',b'',b'',b'',b''
b'Girona',b'13:00del13/04/2019',"b""Begur(Centred'EstudisdelMar)""",b'61',b'116ug/m3',b'4ug/m3',b'',b'',b'',b''
b'Girona',b'12:00del13/04/2019',b'CABODECREUS',b'54',b'111.37ug/m3',b'3.67ug/m3',b'0.56ug/m3',b'',b'',b''
b'Girona',b'12:00del13/04/2019',b'Girona(EscoladeM\xc3\xbasica)',b'6',b'',b'12ug/m3',b'5ug/m3',b'',b'',b'500ug/m3'
b'Girona',b'13:00del13/04/2019',b'Pardines(ajuntament)',b'84',b'129ug/m3',b'',b'',b'',b'',b''
b'Girona',b'13:00del13/04/2019',b'SantaPau(canJord\xc3\xa0)',b'50',b'108ug/m3',b'',b'',b'',b'',b''
b'Granada',b'11:00del13/04/2019',b'CIUDADDEPORTIVA',b'36',b'78ug/m3',b'34ug/m3',b'5ug/m3',b'',b'34.58ug/m3',b'42ug/m3'
b'Granada',b'11:00del13/04/2019',b'GRANADA-NORTE',b'28',b'',b'56ug/m3',b'6ug/m3',b'',b'',b'490ug/m3'
b'Granada',b'10:00del13/04/2019',b'PALACIOCONGRESOS',b'32',b'17ug/m3',b'63ug/m3',b'',b'',b'',b'301ug/m3'
b'Granada',b'10:00del13/04/2019',b'MOTRIL',b'32',b'70ug/m3',b'34ug/m3',b'6ug/m3',b'',b'25.33ug/m3',b'366ug/m3'
b'Granada',b'12:00del13/04/2019',b'V\xc3\x8dZNAR',b'46',b'99.09ug/m3',b'10.16ug/m3',b'1.47ug/m3',b'',b'',b''
b'Guadalajara',b'12:00del13/04/2019',b'AZUQUECADEHENARES',b'54',b'112ug/m3',b'6ug/m3',b'2ug/m3',b'',b'',b''
b'Guadalajara',b'11:00del13/04/2019',b'GUADALAJARA',b'44',b'93ug/m3',b'11ug/m3',b'2ug/m3',b'',b'25.63ug/m3',b'560ug/m3'
b'Guip\xc3\xbazcoa',b'11:00del13/04/2019',b'ARRASATE',b'12',b'',b'11ug/m3',b'',b'',b'12.88ug/m3',b'330ug/m3'
b'Guip\xc3\xbazcoa',b'11:00del13/04/2019',b'AZPEITIA',b'35',b'76ug/m3',b'19ug/m3',b'',b'',b'14.25ug/m3',b''
b'Guip\xc3\xbazcoa',b'11:00del13/04/2019',b'BEASAIN',b'65',b'',b'29ug/m3',b'3ug/m3',b'18.63ug/m3',b'',b'190ug/m3'
b'Guip\xc3\xbazcoa',b'11:00del13/04/2019',b'HERNANI',b'12',b'',b'25ug/m3',b'6ug/m3',b'',b'',b''
b'Guip\xc3\xbazcoa',b'12:00del13/04/2019',b'PAGOETA',b'43',b'92ug/m3',b'6ug/m3',b'',b'',b'21ug/m3',b''
b'Guip\xc3\xbazcoa',b'11:00del13/04/2019',b'ATEGORRIETA',b'59',b'',b'43ug/m3',b'',b'15.88ug/m3',b'31.25ug/m3',b'400ug/m3'
b'Guip\xc3\xbazcoa',b'09:00del13/04/2019',b'AVENIDATOLOSA',b'77',b'74ug/m3',b'29ug/m3',b'4ug/m3',b'24.38ug/m3',b'',b''
b'Guip\xc3\xbazcoa',b'11:00del13/04/2019',b'PUYO',b'31',b'67ug/m3',b'26ug/m3',b'2ug/m3',b'',b'22.25ug/m3',b''
b'Guip\xc3\xbazcoa',b'12:00del13/04/2019',b'TOLOSA',b'17',b'',b'20ug/m3',b'',b'',b'18ug/m3',b''
b'Huelva',b'11:00del13/04/2019',b'CAMPUSDELCARMEN',b'28',b'60ug/m3',b'',b'3ug/m3',b'',b'',b'223ug/m3'
b'Huelva',b'11:00del13/04/2019',b'MARISMASDELTIT\xc3\x81N',b'11',b'',b'15ug/m3',b'',b'',b'11.52ug/m3',b'504ug/m3'
b'Huelva',b'12:00del13/04/2019',b'POZODULCE',b'16',b'',b'14ug/m3',b'14ug/m3',b'',b'17.22ug/m3',b'95ug/m3'
b'Huelva',b'12:00del13/04/2019',b'LAORDEN',b'54',b'111ug/m3',b'9ug/m3',b'10ug/m3',b'',b'11.76ug/m3',b''
b'Huelva',b'12:00del13/04/2019',b'ELARENOSILLO',b'41',b'88ug/m3',b'6ug/m3',b'4ug/m3',b'',b'',b'1249ug/m3'
b'Huelva',b'12:00del13/04/2019',b'MAZAGON',b'41',b'88ug/m3',b'14ug/m3',b'',b'',b'14.96ug/m3',b'645ug/m3'
b'Huelva',b'11:00del13/04/2019',b'MOGUER',b'35',b'76ug/m3',b'10ug/m3',b'2ug/m3',b'',b'',b''
b'Huelva',b'12:00del13/04/2019',b'NIEBLA',b'23',b'',b'45ug/m3',b'3ug/m3',b'',b'',b''
b'Huelva',b'11:00del13/04/2019',b'TORREARENILLA',b'17',b'',b'',b'7ug/m3',b'',b'18.05ug/m3',b''
b'Huelva',b'12:00del13/04/2019',b'LAR\xc3\x81BIDA',b'35',b'75ug/m3',b'17ug/m3',b'4ug/m3',b'',b'17.22ug/m3',b''
b'Huelva',b'12:00del13/04/2019',b'PALOS',b'7',b'',b'',b'14ug/m3',b'',b'',b''
b'Huelva',b'12:00del13/04/2019',b'DO\xc3\x91ANA',b'44',b'93.82ug/m3',b'3.24ug/m3',b'0.55ug/m3',b'',b'',b''
b'Huelva',b'11:00del13/04/2019',b'PUNTAUMBR\xc3\x8dA',b'34',b'73ug/m3',b'10ug/m3',b'',b'',b'14.61ug/m3',b''
b'Huelva',b'11:00del13/04/2019',b'SANJU\xc3\x81NDELPUERTO',b'18',b'',b'17ug/m3',b'1ug/m3',b'',b'19.36ug/m3',b''
b'Huelva',b'10:00del13/04/2019',b'MATALASCA\xc3\x91AS',b'25',b'45ug/m3',b'48ug/m3',b'1ug/m3',b'',b'',b''
b'Huesca',b'12:00del13/04/2019',b'TORRELISA',b'49',b'106ug/m3',b'2.25ug/m3',b'1.25ug/m3',b'',b'',b''
b'Huesca',b'12:00del13/04/2019',b'HUESCA',b'47',b'101.75ug/m3',b'10ug/m3',b'2.5ug/m3',b'',b'',b''
b'Huesca',b'12:00del13/04/2019',b'MONZ\xc3\x93NCENTRO',b'40',b'85ug/m3',b'5.3333ug/m3',b'2ug/m3',b'',b'',b''
b'Ja\xc3\xa9n',b'11:00del13/04/2019',b'BAIL\xc3\x89N',b'31',b'67ug/m3',b'16ug/m3',b'21ug/m3',b'',b'',b'99ug/m3'
b'Ja\xc3\xa9n',b'11:00del13/04/2019',b'LASFUENTEZUELAS',b'44',b'93ug/m3',b'12ug/m3',b'4ug/m3',b'',b'',b'280ug/m3'
b'Ja\xc3\xa9n',b'11:00del13/04/2019',b'RONDADELVALLE',b'41',b'87ug/m3',b'16ug/m3',b'1ug/m3',b'',b'',b'610ug/m3'
b'Ja\xc3\xa9n',b'11:00del13/04/2019',b'VILLANUEVADELARZOBISPO',b'39',b'84ug/m3',b'10ug/m3',b'',b'',b'',b'527ug/m3'
b'La Rioja',b'11:00del13/04/2019',b'ALFARO',b'42',b'86ug/m3',b'9.7ug/m3',b'7.4ug/m3',b'10.13ug/m3',b'27.5ug/m3',b'440ug/m3'
b'La Rioja',b'10:00del13/04/2019',b'ARR\xc3\x9aBAL',b'61',b'65ug/m3',b'10ug/m3',b'1.4ug/m3',b'16.88ug/m3',b'19.75ug/m3',b'280ug/m3'
b'La Rioja',b'11:00del13/04/2019',b'GALILEA',b'43',b'91ug/m3',b'7ug/m3',b'2.5ug/m3',b'6.89ug/m3',b'12.58ug/m3',b'290ug/m3'
b'La Rioja',b'12:00del13/04/2019',b'LACIG\xc3\x9cE\xc3\x91A',b'36',b'78ug/m3',b'19ug/m3',b'3.6ug/m3',b'',b'23ug/m3',b'200ug/m3'
b'La Rioja',b'10:00del13/04/2019',b'PRADEJ\xc3\x93N',b'59',b'97ug/m3',b'7.6ug/m3',b'3.7ug/m3',b'16ug/m3',b'19.25ug/m3',b'390ug/m3'
b'Las Palmas',b'01:00del11/04/2019',b'CIUDADDEPORTIVA-ARRECIFE',b'--',b'',b'',b'',b'',b'',b''
b'Las Palmas',b'01:00del11/04/2019',b'POLIDEPORTIVOAFONSO-ARUCAS',b'--',b'',b'',b'',b'',b'',b''
b'Las Palmas',b'23:00del10/04/2019',b'MERCADOCENTRAL',b'--',b'',b'',b'',b'',b'',b''
b'Las Palmas',b'01:00del11/04/2019',b'N\xc3\x89STOR\xc3\x81LAMO',b'--',b'',b'',b'',b'',b'',b''
b'Las Palmas',b'01:00del11/04/2019',b'TEF\xc3\x8dA-PUERTODELROSARIO',b'--',b'',b'',b'',b'',b'',b''
b'Las Palmas',b'01:00del11/04/2019',b'PARQUEDESANJUAN-TELDE',b'--',b'',b'',b'',b'',b'',b''
b'Le\xc3\xb3n',b'13:00del13/04/2019',b'LAROBLA',b'47',b'101ug/m3',b'6ug/m3',b'5ug/m3',b'',b'13.38ug/m3',b''
b'Le\xc3\xb3n',b'12:00del13/04/2019',b'LARIO',b'47',b'101ug/m3',b'3ug/m3',b'1ug/m3',b'',b'',b''
b'Le\xc3\xb3n',b'12:00del13/04/2019',b'BARRIOPINILLA',b'17',b'',b'21ug/m3',b'13ug/m3',b'',b'18.88ug/m3',b'600ug/m3'
b'Le\xc3\xb3n',b'12:00del13/04/2019',b'PONFERRADA4',b'38',b'82ug/m3',b'12ug/m3',b'3ug/m3',b'',b'15ug/m3',b''
b'Le\xc3\xb3n',b'13:00del13/04/2019',b'LE\xc3\x93N4',b'45',b'97ug/m3',b'8ug/m3',b'1ug/m3',b'',b'6.75ug/m3',b''
b'Lleida',b'12:00del13/04/2019',b'BellverdeCerdanya(CEIPMaredeD\xc3\xa9udeTall\xc3\xb3)',b'71',b'122ug/m3',b'6ug/m3',b'',b'',b'',b''
b'Lleida',b'12:00del13/04/2019',b'ELSTORMS',b'50',b'107.39ug/m3',b'5.24ug/m3',b'1.01ug/m3',b'',b'',b''
b'Lleida',b'12:00del13/04/2019',b'Juneda(PladelMol\xc3\xad)',b'43',b'91ug/m3',b'7ug/m3',b'',b'',b'',b''
b'Lleida',b'12:00del13/04/2019',b'Lleida(Irurita-PiusXII)',b'36',b'78ug/m3',b'13ug/m3',b'3ug/m3',b'',b'',b'200ug/m3'
b'Lleida',b'12:00del13/04/2019',b'Montsec(OAM)',b'80',b'128ug/m3',b'1ug/m3',b'1ug/m3',b'',b'',b'200ug/m3'
b'Lleida',b'12:00del13/04/2019',b'Ponts(Ponent)',b'39',b'84ug/m3',b'',b'',b'',b'',b''
b'Lleida',b'12:00del13/04/2019',b'Sort(escoladecaiac)',b'54',b'112ug/m3',b'',b'',b'',b'',b''
b'Lugo',b'12:00del13/04/2019',b'LUGO-FINGOY',b'60',b'89ug/m3',b'8ug/m3',b'1ug/m3',b'16.38ug/m3',b'19.88ug/m3',b'100ug/m3'
b'Lugo',b'11:00del13/04/2019',b'OSAVI\xc3\x91AO',b'34',b'73.72ug/m3',b'3.42ug/m3',b'0.65ug/m3',b'',b'',b''
b'Madrid',b'12:00del13/04/2019',b'ALCAL\xc3\x81DEHENARES',b'69',b'117ug/m3',b'26ug/m3',b'1ug/m3',b'20.75ug/m3',b'20.75ug/m3',b'400ug/m3'
b'Madrid',b'12:00del13/04/2019',b'ALCOBENDAS',b'49',b'105ug/m3',b'24ug/m3',b'',b'',b'23.5ug/m3',b''
b'Madrid',b'11:00del13/04/2019',b'ALCORC\xc3\x93N',b'59',b'87ug/m3',b'41ug/m3',b'',b'16ug/m3',b'',b''
b'Madrid',b'12:00del13/04/2019',b'ALGETE',b'61',b'107ug/m3',b'14ug/m3',b'',b'16.88ug/m3',b'',b''
b'Madrid',b'12:00del13/04/2019',b'ARANJUEZ',b'42',b'90ug/m3',b'21ug/m3',b'',b'',b'13.38ug/m3',b''
b'Madrid',b'13:00del13/04/2019',b'ARGANDADELREY',b'47',b'102ug/m3',b'17ug/m3',b'',b'',b'26.25ug/m3',b''
b'Madrid',b'12:00del13/04/2019',b'COLLADOVILLALBA',b'54',b'112ug/m3',b'14ug/m3',b'2ug/m3',b'7.88ug/m3',b'',b''
b'Madrid',b'12:00del13/04/2019',b'COLMENARVIEJO',b'49',b'105ug/m3',b'14ug/m3',b'',b'',b'15.5ug/m3',b'600ug/m3'
b'Madrid',b'13:00del13/04/2019',b'COSLADA',b'59',b'105ug/m3',b'26ug/m3',b'',b'16.13ug/m3',b'21.13ug/m3',b''
b'Madrid',b'13:00del13/04/2019',b'ELATAZAR',b'61',b'116ug/m3',b'5ug/m3',b'2ug/m3',b'6.13ug/m3',b'9.25ug/m3',b'300ug/m3'
b'Madrid',b'12:00del13/04/2019',b'FUENLABRADA',b'42',b'90ug/m3',b'26ug/m3',b'',b'',b'31.13ug/m3',b''
b'Madrid',b'12:00del13/04/2019',b'GETAFE',b'54',b'112ug/m3',b'15ug/m3',b'',b'12.75ug/m3',b'29.13ug/m3',b''
b'Madrid',b'13:00del13/04/2019',b'GUADALIXDELASIERRA',b'77',b'125ug/m3',b'7ug/m3',b'',b'',b'12.75ug/m3',b''
b'Madrid',b'13:00del13/04/2019',b'LEGAN\xc3\x89S',b'55',b'103ug/m3',b'16ug/m3',b'',b'14ug/m3',b'29.38ug/m3',b''
b'Madrid',b'13:00del13/04/2019',b'ARTUROSORIA',b'30',b'63.36ug/m3',b'28ug/m3',b'',b'',b'',b''
b'Madrid',b'12:00del13/04/2019',b'BARAJAS-PUEBLO',b'41',b'88ug/m3',b'32ug/m3',b'',b'',b'',b''
b'Madrid',b'13:00del13/04/2019',b'BARRIODELPILAR',b'47',b'102ug/m3',b'29ug/m3',b'',b'',b'',b''
b'Madrid',b'12:00del13/04/2019',b'CASADECAMPO',b'43',b'91.46ug/m3',b'30ug/m3',b'',b'10.38ug/m3',b'14.5ug/m3',b''
b'Madrid',b'13:00del13/04/2019',b'CASTELLANA',b'51',b'',b'31ug/m3',b'',b'12.25ug/m3',b'16.88ug/m3',b''
b'Madrid',b'13:00del13/04/2019',b'CUATROCAMINOS-PABLOIGLESIAS',b'59',b'',b'30ug/m3',b'',b'15.88ug/m3',b'24ug/m3',b''
b'Madrid',b'11:00del13/04/2019',b'ELPARDO',b'43',b'91.2ug/m3',b'21ug/m3',b'',b'',b'',b''
b'Madrid',b'13:00del13/04/2019',b'ENSANCHEDEVALLECAS',b'49',b'106.9ug/m3',b'16ug/m3',b'',b'',b'',b''
b'Madrid',b'13:00del13/04/2019',b'ESCUELASAGUIRRE',b'61',b'103.5ug/m3',b'34ug/m3',b'9ug/m3',b'16.75ug/m3',b'24.38ug/m3',b'100ug/m3'
b'Madrid',b'12:00del13/04/2019',b'FAROLILLO',b'48',b'103.1ug/m3',b'29ug/m3',b'',b'',b'18.88ug/m3',b''
b'Madrid',b'13:00del13/04/2019',b'FERNANDEZLADREDA-OPORTO',b'58',b'',b'47ug/m3',b'',b'15.38ug/m3',b'20.88ug/m3',b'300ug/m3'
b'Madrid',b'13:00del13/04/2019',b'JUANCARLOSI',b'49',b'106.4ug/m3',b'22ug/m3',b'',b'',b'',b''
b'Madrid',b'13:00del13/04/2019',b'MAJADAHONDA',b'44',b'96ug/m3',b'21ug/m3',b'',b'',b'16.63ug/m3',b''
b'Madrid',b'12:00del13/04/2019',b'MENDEZALVARO',b'48',b'',b'27ug/m3',b'',b'11.5ug/m3',b'13.13ug/m3',b''
b'Madrid',b'12:00del13/04/2019',b'MORATALAZ',b'43',b'',b'39ug/m3',b'6ug/m3',b'',b'46.75ug/m3',b''
b'Madrid',b'13:00del13/04/2019',b'PLAZACASTILLA-CANAL',b'59',b'',b'36ug/m3',b'',b'15.88ug/m3',b'24.75ug/m3',b''
b'Madrid',b'13:00del13/04/2019',b'PLAZADEESPA\xc3\x91A',b'15',b'',b'30ug/m3',b'2ug/m3',b'',b'',b'400ug/m3'
b'Madrid',b'12:00del13/04/2019',b'PLAZADELCARMEN',b'43',b'91.09ug/m3',b'26ug/m3',b'14ug/m3',b'',b'',b'600ug/m3'
b'Madrid',b'13:00del13/04/2019',b'PUENTEDEVALLECAS',b'16',b'',b'22ug/m3',b'',b'',b'17ug/m3',b''
b'Madrid',b'12:00del13/04/2019',b'RAM\xc3\x93NYCAJAL',b'27',b'',b'54ug/m3',b'',b'',b'',b''
b'Madrid',b'13:00del13/04/2019',b'RETIRO',b'54',b'111.3ug/m3',b'18ug/m3',b'',b'',b'',b''
b'Madrid',b'13:00del13/04/2019',b'SANCHINARRO',b'19',b'',b'37ug/m3',b'',b'',b'7.88ug/m3',b''
b'Madrid',b'12:00del13/04/2019',b'TRESOLIVOS',b'42',b'89.13ug/m3',b'40ug/m3',b'',b'',b'9.75ug/m3',b''
b'Madrid',b'13:00del13/04/2019',b'URBANIZACIONEMBAJADA',b'26',b'',b'26ug/m3',b'',b'',b'27.88ug/m3',b''
b'Madrid',b'13:00del13/04/2019',b'VILLAVERDE',b'51',b'109.8ug/m3',b'20ug/m3',b'',b'',b'',b''
b'Madrid',b'12:00del13/04/2019',b'M\xc3\x93STOLES',b'40',b'85ug/m3',b'25ug/m3',b'1ug/m3',b'',b'25ug/m3',b'700ug/m3'
b'Madrid',b'13:00del13/04/2019',b'ORUSCODETAJU\xc3\x91A',b'77',b'126ug/m3',b'6ug/m3',b'2ug/m3',b'',b'8.88ug/m3',b'300ug/m3'
b'Madrid',b'13:00del13/04/2019',b'RIVAS-VACIAMADRID',b'51',b'110ug/m3',b'13ug/m3',b'',b'',b'23.13ug/m3',b''
b'Madrid',b'13:00del13/04/2019',b'SANMARTINDEVALDEIGLESIAS',b'51',b'109ug/m3',b'7ug/m3',b'',b'',b'13ug/m3',b''
b'Madrid',b'13:00del13/04/2019',b'TORREJONDEARDOZ',b'74',b'123ug/m3',b'12ug/m3',b'',b'16.25ug/m3',b'17.75ug/m3',b''
b'Madrid',b'13:00del13/04/2019',b'VALDEMORO',b'64',b'117ug/m3',b'12ug/m3',b'',b'12.63ug/m3',b'',b''
b'Madrid',b'12:00del13/04/2019',b'VILLADELPRADO',b'50',b'108ug/m3',b'5ug/m3',b'1ug/m3',b'7.13ug/m3',b'9.38ug/m3',b'600ug/m3'
b'Madrid',b'12:00del13/04/2019',b'VILLAREJODESALVANES',b'62',b'114ug/m3',b'9ug/m3',b'',b'17.5ug/m3',b'',b''
b'M\xc3\xa1laga',b'11:00del13/04/2019',b'CAMPILLOS',b'34',b'73ug/m3',b'20ug/m3',b'',b'',b'',b''
b'M\xc3\xa1laga',b'11:00del13/04/2019',b'AVENIDAJUANXXIII',b'12',b'',b'24ug/m3',b'',b'',b'',b''
b'M\xc3\xa1laga',b'11:00del13/04/2019',b'CAMPANILLASCIFA',b'44',b'94ug/m3',b'8ug/m3',b'4ug/m3',b'',b'',b'158ug/m3'
b'M\xc3\xa1laga',b'12:00del13/04/2019',b'CARRANQUE',b'44',b'94ug/m3',b'13ug/m3',b'6ug/m3',b'',b'',b'349ug/m3'
b'M\xc3\xa1laga',b'12:00del13/04/2019',b'MARBELLAARCO',b'44',b'95ug/m3',b'35ug/m3',b'4ug/m3',b'',b'',b'889ug/m3'
b'M\xc3\xa1laga',b'11:00del13/04/2019',b'ELATABAL',b'48',b'104ug/m3',b'10ug/m3',b'10ug/m3',b'',b'',b'155ug/m3'
b'Murcia',b'12:00del13/04/2019',b'ALCANTARILLA',b'50',b'107ug/m3',b'7ug/m3',b'',b'',b'25.63ug/m3',b''
b'Murcia',b'12:00del13/04/2019',b'ALUMBRES',b'67',b'119ug/m3',b'',b'6ug/m3',b'',b'10.25ug/m3',b''
b'Murcia',b'12:00del13/04/2019',b'CARAVACA',b'39',b'84ug/m3',b'5ug/m3',b'',b'',b'7.38ug/m3',b''
b'Murcia',b'11:00del13/04/2019',b'MOMPEAN',b'50',b'107ug/m3',b'12ug/m3',b'3ug/m3',b'',b'20ug/m3',b''
b'Murcia',b'12:00del13/04/2019',b'VALLE',b'38',b'82ug/m3',b'14ug/m3',b'11ug/m3',b'',b'10.5ug/m3',b''
b'Murcia',b'12:00del13/04/2019',b'LAALJORRA',b'46',b'99ug/m3',b'4ug/m3',b'12ug/m3',b'',b'16.75ug/m3',b''
b'Murcia',b'12:00del13/04/2019',b'LORCA',b'58',b'114ug/m3',b'3ug/m3',b'',b'',b'9ug/m3',b''
b'Murcia',b'12:00del13/04/2019',b'SANBASILIO',b'33',b'71ug/m3',b'28ug/m3',b'',b'',b'34.13ug/m3',b'400ug/m3'
b'Navarra',b'13:00del13/04/2019',b'ALSASUA',b'45',b'98ug/m3',b'19ug/m3',b'27ug/m3',b'',b'19ug/m3',b'400ug/m3'
b'Navarra',b'11:00del13/04/2019',b'CTCC-FUNES',b'50',b'108ug/m3',b'5ug/m3',b'',b'',b'10.38ug/m3',b'100ug/m3'
b'Navarra',b'13:00del13/04/2019',b'LEITZA',b'58',b'113ug/m3',b'3ug/m3',b'2ug/m3',b'',b'19.88ug/m3',b'400ug/m3'
b'Navarra',b'13:00del13/04/2019',b'OLITE',b'61',b'115ug/m3',b'7ug/m3',b'',b'',b'22.38ug/m3',b''
b'Navarra',b'13:00del13/04/2019',b'ITURRAMA',b'43',b'92ug/m3',b'13ug/m3',b'3ug/m3',b'',b'20.38ug/m3',b'100ug/m3'
b'Navarra',b'13:00del13/04/2019',b'PLAZADELACRUZ',b'31',b'68ug/m3',b'38ug/m3',b'4ug/m3',b'',b'1ug/m3',b'400ug/m3'
b'Navarra',b'13:00del13/04/2019',b'ROTXAPEA',b'19',b'',b'10ug/m3',b'',b'',b'20.63ug/m3',b''
b'Navarra',b'13:00del13/04/2019',b'SANGUESA',b'41',b'87ug/m3',b'10ug/m3',b'10ug/m3',b'',b'10.25ug/m3',b''
b'Navarra',b'13:00del13/04/2019',b'CTCC-TUDELA',b'67',b'119ug/m3',b'6ug/m3',b'4ug/m3',b'',b'12.5ug/m3',b'600ug/m3'
b'Ourense',b'12:00del13/04/2019',b'LAZA',b'44',b'96ug/m3',b'3.3ug/m3',b'1ug/m3',b'9.93ug/m3',b'12.88ug/m3',b'230ug/m3'
