region,hora_publicacion,estacion,ica,o3,no2,so2,pm25,pm10,co
b'Almer\xc3\xada',b'10:00del13/04/2019',b'RODALQUILAR',b'50',b'108ug/m3',b'5ug/m3',b'5ug/m3',b'',b'',b''
b'Asturias',b'06:00del12/04/2019',b'SALINAS',b'53',b'3ug/m3',b'18ug/m3',b'',b'12.88ug/m3',b'17.13ug/m3',b'460ug/m3'
b'Asturias',b'07:00del12/04/2019',b'LLANOPONTE',b'27',b'17ug/m3',b'30ug/m3',b'6ug/m3',b'5.5ug/m3',b'28.88ug/m3',b''
b'Asturias',b'06:00del12/04/2019',b'LLARANES',b'21',b'12ug/m3',b'13ug/m3',b'6ug/m3',b'',b'22.63ug/m3',b''
b'Asturias',b'06:00del12/04/2019',b'PLAZADELAGUITARRA',b'26',b'13ug/m3',b'30ug/m3',b'8ug/m3',b'',b'27.75ug/m3',b'950ug/m3'
b'Asturias',b'06:00del12/04/2019',b'CANGASDENARCEA',b'16',b'29ug/m3',b'5ug/m3',b'11ug/m3',b'',b'16.75ug/m3',b'400ug/m3'
b'Asturias',b'07:00del12/04/2019',b'ARGENTINA',b'35',b'19ug/m3',b'40ug/m3',b'4ug/m3',b'',b'37.88ug/m3',b'340ug/m3'
b'Asturias',b'07:00del12/04/2019',b'AVENIDADECASTILLA',b'21',b'6.6ug/m3',b'30ug/m3',b'3.9ug/m3',b'',b'22.25ug/m3',b'400ug/m3'
b'Asturias',b'06:00del12/04/2019',b'CONSTITUCI\xc3\x93N',b'70',b'10ug/m3',b'46ug/m3',b'4ug/m3',b'21.13ug/m3',b'30.5ug/m3',b'510ug/m3'
b'Asturias',b'07:00del12/04/2019',b'HERMANOSFELGUEROSO',b'23',b'15ug/m3',b'42ug/m3',b'4ug/m3',b'',b'24.5ug/m3',b'740ug/m3'
b'Asturias',b'06:00del12/04/2019',b'MONTEVIL',b'78',b'11ug/m3',b'43ug/m3',b'4ug/m3',b'24.75ug/m3',b'29.25ug/m3',b''
b'Asturias',b'06:00del12/04/2019',b'SANTAB\xc3\x81RBARA',b'70',b'',b'27ug/m3',b'',b'21.13ug/m3',b'25.38ug/m3',b'480ug/m3'
b'Asturias',b'06:00del12/04/2019',b'LAFELGUERA',b'67',b'20ug/m3',b'26ug/m3',b'1.4ug/m3',b'19.88ug/m3',b'28.88ug/m3',b'800ug/m3'
b'Asturias',b'06:00del12/04/2019',b'MERI\xc3\x91\xc3\x81N',b'26',b'22ug/m3',b'14ug/m3',b'2.8ug/m3',b'',b'28.38ug/m3',b''
b'Asturias',b'07:00del12/04/2019',b'SAMAI',b'47',b'41ug/m3',b'13ug/m3',b'5ug/m3',b'11.25ug/m3',b'26ug/m3',b'260ug/m3'
b'Asturias',b'13:00del13/04/2019',b'NIEMBRO',b'42',b'90.01ug/m3',b'0.75ug/m3',b'0.55ug/m3',b'',b'',b''
b'Asturias',b'06:00del12/04/2019',b'LUGONESINSTITUTO',b'73',b'16ug/m3',b'41ug/m3',b'6ug/m3',b'22.75ug/m3',b'30.13ug/m3',b'720ug/m3'
b'Asturias',b'06:00del12/04/2019',b'JARDINESDEJUANXXIII',b'26',b'23ug/m3',b'9ug/m3',b'4ug/m3',b'',b'27.63ug/m3',b''
b'Asturias',b'06:00del12/04/2019',b'PLAZADETOROS',b'23',b'20ug/m3',b'42ug/m3',b'2ug/m3',b'',b'24.5ug/m3',b'630ug/m3'
b'Asturias',b'06:00del12/04/2019',b'PURIFICACI\xc3\x93NTOM\xc3\x81S',b'59',b'40ug/m3',b'7.1ug/m3',b'3.9ug/m3',b'15.75ug/m3',b'24.63ug/m3',b'680ug/m3'
